philosopher,"n. 哲学家, 哲人, 思想开创人, 达观的人
"
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
seismologist,n. 地震学家
seismology,n. 地震学
comet,n. 彗星
cometary,"a. 彗星的, 彗星似的"
Halley's Comet,n. 哈雷彗星
Earth,[网络] 莉莎的天空
Jupiter,"n. 朱庇物(罗马神话中的主神), 木星"
Mars,[网络] 马尔斯
Mercury,"n. 水银, 汞, 使者
"
Neptune,n. 海王星
Saturn,n. 土星
Uranus,"n. 天王星, 乌拉诺斯(希腊神话人物)"
Venus,"n. 维纳斯(爱与美的女神), 金星"
asteroid,"n. 小行星, 海盘车
a. 星状的"
dwarf planet,n. 矮行星
meteor,"n. 流星, 大气现象"
meteoric,"a. 流星的, 疾速的, 大气的"
meteor shower,n. 流星雨
meteoroid,n. 流星体
meteor,"n. 流星, 大气现象"
natural satellite,天然卫星
planet,"n. 行星, 命运星辰, 杰出的人, 重大影响的事"
planetary,"a. 行星的, 流浪的, 迁移不定的, 地球上的, 现世的"
planetoid,"n. 小行星, 类行星的物体"
Pluto,"n. 冥王星, 普路托(冥王)"
quasar,"n. 类星射电源, 类星体"
satellite,"n. 人造卫星
"
weather satellite, 气候探测卫星，气象卫星
star,"n. 星, 恒星, 星形物, 运气, 明星
vt. 以星状物装饰, 用星号标, 使成为明星
vi. 变成明星"
terrestrial planet, 类地行星
eclipse,"n. 日食, 月食, (地位名誉等的)消失
vt. 引起日食, 引起月食, 使黯然失色"
lunar eclipse,"月食,月蚀"
solar eclipse,日食
elliptic orbit,[计] 椭圆轨道
equator,"n. 赤道
"
horizon,"n. 地平线, 眼界, (天)视地平"
horizontal,"n. 水平线, 水平面, 水平位置
a. 水平线的, 平坦的, 横的
n. 水平
"
orbit,"n. 轨道, 常轨, 眼眶
vt. 绕...轨道而行
vi. 进入轨道, 盘旋"
orbital,"a. 轨道的, 眼眶的
"
revolve,"v. (使)旋转, 反复考虑, 循环出现"
revolve around," 旋转, 绕转; 环绕"
spin,"n. 旋转, 自旋, 疾驰, 情绪低落
vt. 纺织, 纺, 使旋转, 编造
vi. 纺纱, 吐丝, 作茧, 结网, 旋转, 自旋, 疾驰"
twirl,"vt. (使)快速转动, 捻弄
n. 转动, 万能钥匙, 旋转的东西"
astronomical unit, 天文单位
astronomy,n. 天文学
astronomical,"a. 天文学的, 庞大的"
aureole,"n. 光轮, 光环"
Big Bang,n. 宇宙大爆炸；创世大爆炸
black mole,无
celestial,"a. 天的, 天国的, 天空的
"
celestial body,"天体
"
constellation,"n. 星座, 荟萃
"
cosmos,"n. 宇宙, 秩序, 和谐, 大波斯菊
"
universe,"n. 宇宙, 星系, (思想等)范围"
galaxy,"n. 银河, 星系, 一群(显赫的人物)
"
Milky Way,银河
intergalactic,a. 星系间的
galactic,"a. 乳汁的, 银河的, 极大的
"
interstellar,a. 星际的
stellar,"a. 星的, 似星的, 星球的, 主要的"
lunar,"a. 阴历的, 月的, 微亮的(指光)
"
